Algorithm,BoW,time,BoWBi,BoWBi_time,TfIdf,TfIdf_time
Gaussian NB,0.5204309982063295,12.333030700683594,0.5068894844490299,11.941238641738892,0.5462138242650215,12.087001085281372
Multinomial NB,0.6907955900588989,32.24650001525879,0.5873114933321031,32.44615054130554,0.6648947004933643,2.3035008907318115
Decision Tree,0.6052287314429192,67.03949999809265,0.5536644773540353,181.72417998313904,0.600912038842824,84.53449940681458
SVM,0.6830490791885284,15.630294799804688,0.5802747615312885,10.722739934921265,0.750224558327846,4.915500640869141
AdaBoost,0.628173699449037,315.71688890457153,0.5582767131790749,842.2464988231659,0.6224952222376006,375.6850001811981
ANN,0.6660778170623787,209.8063507080078,0.5604055261270557,265.8009994029999,0.6901459961162768,275.66499972343445
