Algorithm,BoW,BoWBi,TfIdf
Gaussian NB,0.5006395241577632,0.4927365184412045,0.5328019787229288
Multinomial NB,0.6656460401247183,0.5791354270023341,0.6085143375171302
Decision Tree,0.5799623902608613,0.5472022181639499,0.5789492954287335
SVM,0.6673025976489656,0.5750607506310951,0.737715960881818
AdaBoost,0.6030807891416546,0.5503316051039084,0.6007144696008927
ANN,0.6501523806170935,0.5506300981459804,0.6758091271727092
