Algorithm,BoW,BoWBi,TfIdf
Gaussian NB,0.35577219971190294,0.3417652863209383,0.38912528571156096
Multinomial NB,0.5295118679590447,0.4300396881596482,0.4728986073475411
Decision Tree,0.43453163381620347,0.39937170244474285,0.4328667410204513
SVM,0.526695320089426,0.42639393154642546,0.6100671156848991
AdaBoost,0.459430139528117,0.4027232317385237,0.4577732642223592
ANN,0.5075014433177328,0.4016810246139979,0.5361473856859641
